date,Belegte,Freie,Notfallreserve
2020-03-20T12:15:00+01:00,598,2921,0
2020-03-21T12:15:00+01:00,2871,3627,0
2020-03-22T12:15:00+01:00,3300,3783,0
2020-03-23T12:15:00+01:00,3832,4121,0
2020-03-24T12:15:00+01:00,4942,4797,0
2020-03-25T12:15:00+01:00,5596,5173,0
2020-03-26T12:15:00+01:00,6090,5239,0
2020-03-27T12:15:00+01:00,6426,5479,0
2020-03-28T12:15:00+01:00,6895,5497,0
2020-03-29T12:15:00+02:00,6874,5589,0
2020-03-30T12:15:00+02:00,7225,5719,0
2020-03-31T12:15:00+02:00,8550,6337,0
2020-04-01T12:15:00+02:00,9470,7214,0
2020-04-02T12:15:00+02:00,10807,8127,0
2020-04-03T12:15:00+02:00,11899,8566,0
2020-04-04T12:15:00+02:00,12110,8825,0
2020-04-05T12:15:00+02:00,12143,8936,0
2020-04-06T12:15:00+02:00,12181,8950,0
2020-04-07T12:15:00+02:00,12103,8940,0
2020-04-08T12:15:00+02:00,12784,9108,0
2020-04-09T12:15:00+02:00,13365,9143,0
2020-04-10T12:15:00+02:00,13115,9124,0
2020-04-11T12:15:00+02:00,12703,9143,0
2020-04-12T12:15:00+02:00,12778,9287,0
2020-04-13T12:15:00+02:00,13066,9325,0
2020-04-14T12:15:00+02:00,13355,9566,0
2020-04-15T12:15:00+02:00,14322,10059,0
2020-04-16T12:15:00+02:00,15907,11382,0
2020-04-17T12:15:00+02:00,17119,11637,0
2020-04-18T12:15:00+02:00,17594,11808,0
2020-04-19T12:15:00+02:00,17211,12235,0
2020-04-20T12:15:00+02:00,17525,12208,0
2020-04-21T12:15:00+02:00,18464,12078,0
2020-04-22T12:15:00+02:00,18860,12101,0
2020-04-23T12:15:00+02:00,19057,12176,0
2020-04-24T12:15:00+02:00,19262,12271,0
2020-04-25T12:15:00+02:00,19125,12291,0
2020-04-26T12:15:00+02:00,18642,12695,0
2020-04-27T12:15:00+02:00,18828,12538,0
2020-04-28T12:15:00+02:00,19370,12208,0
2020-04-29T12:15:00+02:00,19638,12145,0
2020-04-30T12:15:00+02:00,19595,12195,0
2020-05-01T12:15:00+02:00,19667,12296,0
2020-05-02T12:15:00+02:00,19032,12912,0
2020-05-03T12:15:00+02:00,19155,12775,0
2020-05-04T12:15:00+02:00,19078,12718,0
2020-05-05T12:15:00+02:00,19695,12142,0
2020-05-06T12:15:00+02:00,20093,11844,0
2020-05-07T12:15:00+02:00,20064,11807,0
2020-05-08T12:15:00+02:00,20035,11655,0
2020-05-09T12:15:00+02:00,19814,11884,0
2020-05-10T12:15:00+02:00,19256,12303,0
2020-05-11T12:15:00+02:00,19416,12125,0
2020-05-12T12:15:00+02:00,20301,11923,0
2020-05-13T12:15:00+02:00,20235,11576,0
2020-05-14T12:15:00+02:00,20145,11747,0
2020-05-15T12:15:00+02:00,20482,11420,0
2020-05-16T12:15:00+02:00,20122,11610,0
2020-05-17T12:15:00+02:00,19589,12176,0
2020-05-18T12:15:00+02:00,19558,12139,0
2020-05-19T12:15:00+02:00,20154,11389,0
2020-05-20T12:15:00+02:00,20412,11321,0
2020-05-21T12:15:00+02:00,20408,11354,0
2020-05-22T12:15:00+02:00,19851,11906,0
2020-05-23T12:15:00+02:00,20042,11895,0
2020-05-24T12:15:00+02:00,19553,12242,0
2020-05-25T12:15:00+02:00,19639,12291,0
2020-05-26T12:15:00+02:00,20190,11640,0
2020-05-27T12:15:00+02:00,20480,11270,0
2020-05-28T12:15:00+02:00,20563,11144,0
2020-05-29T12:15:00+02:00,20492,11153,0
2020-05-30T12:15:00+02:00,20379,11284,0
2020-05-31T12:15:00+02:00,19715,11876,0
2020-06-01T12:15:00+02:00,19643,11957,0
2020-06-02T12:15:00+02:00,19720,11855,0
2020-06-03T12:15:00+02:00,20442,11187,0
2020-06-04T12:15:00+02:00,20757,10840,0
2020-06-05T12:15:00+02:00,20822,10748,0
2020-06-06T12:15:00+02:00,20562,10994,0
2020-06-07T12:15:00+02:00,19972,11553,0
2020-06-08T12:15:00+02:00,19834,11692,0
2020-06-09T12:15:00+02:00,20683,10943,0
2020-06-10T12:15:00+02:00,20848,10821,0
2020-06-11T12:15:00+02:00,20778,10865,0
2020-06-12T12:15:00+02:00,20285,11300,0
2020-06-13T12:15:00+02:00,20229,11283,0
2020-06-14T12:15:00+02:00,19832,11652,0
2020-06-15T12:15:00+02:00,19899,11691,0
2020-06-16T12:15:00+02:00,20614,11014,0
2020-06-17T12:15:00+02:00,20928,10717,0
2020-06-18T12:15:00+02:00,21063,10683,0
2020-06-19T12:15:00+02:00,21152,10580,0
2020-06-20T12:15:00+02:00,20843,10834,0
2020-06-21T12:15:00+02:00,20260,11409,0
2020-06-22T12:15:00+02:00,20278,11575,0
2020-06-23T12:15:00+02:00,20909,10938,0
2020-06-24T12:15:00+02:00,21002,10911,0
2020-06-25T12:15:00+02:00,21000,10868,0
2020-06-26T12:15:00+02:00,21128,10661,0
2020-06-27T12:15:00+02:00,20932,10855,0
2020-06-28T12:15:00+02:00,20430,11332,0
2020-06-29T12:15:00+02:00,20371,11479,0
2020-06-30T12:15:00+02:00,20944,10957,0
2020-07-01T12:15:00+02:00,21336,10660,0
2020-07-02T12:15:00+02:00,21438,10556,0
2020-07-03T12:15:00+02:00,21204,10501,0
2020-07-04T12:15:00+02:00,20826,10976,0
2020-07-05T12:15:00+02:00,20275,11472,0
2020-07-06T12:15:00+02:00,20363,11532,0
2020-07-07T12:15:00+02:00,20912,11066,0
2020-07-08T12:15:00+02:00,21135,10835,0
2020-07-09T12:15:00+02:00,21175,10722,0
2020-07-10T12:15:00+02:00,21255,10611,0
2020-07-11T12:15:00+02:00,21000,10838,0
2020-07-12T12:15:00+02:00,20382,11292,0
2020-07-13T12:15:00+02:00,20232,11510,0
2020-07-14T12:15:00+02:00,20975,10831,0
2020-07-15T12:15:00+02:00,21387,10481,0
2020-07-16T12:15:00+02:00,21431,10469,0
2020-07-17T12:15:00+02:00,21479,10477,0
2020-07-18T12:15:00+02:00,21079,10747,0
2020-07-19T12:15:00+02:00,20571,11181,0
2020-07-20T12:15:00+02:00,20727,11220,0
2020-07-21T12:15:00+02:00,21148,10873,0
2020-07-22T12:15:00+02:00,21435,10730,0
2020-07-23T12:15:00+02:00,21484,10852,0
2020-07-24T12:15:00+02:00,21615,10726,0
2020-07-25T12:15:00+02:00,21340,10931,0
2020-07-26T12:15:00+02:00,20852,11411,0
2020-07-27T12:15:00+02:00,20754,11568,0
2020-07-28T12:15:00+02:00,21399,11035,0
2020-07-29T12:15:00+02:00,21708,10887,0
2020-07-30T12:15:00+02:00,21580,11070,0
2020-07-31T12:15:00+02:00,21594,11032,0
2020-08-01T12:15:00+02:00,21345,11229,0
2020-08-02T12:15:00+02:00,20863,11665,0
2020-08-03T12:15:00+02:00,20866,11753,0
2020-08-04T12:15:00+02:00,21408,9544,12313
2020-08-05T12:15:00+02:00,21657,9156,12741
2020-08-06T12:15:00+02:00,21639,9121,12693
2020-08-07T12:15:00+02:00,21673,9049,12632
2020-08-08T12:15:00+02:00,21405,9196,12662
2020-08-09T12:15:00+02:00,20978,9597,12634
2020-08-10T12:15:00+02:00,20970,9498,12612
2020-08-11T12:15:00+02:00,21614,8861,12642
2020-08-12T12:15:00+02:00,21801,8770,12610
2020-08-13T12:15:00+02:00,21881,8601,12648
2020-08-14T12:15:00+02:00,22013,8542,12562
2020-08-15T12:15:00+02:00,21700,8759,12624
2020-08-16T12:15:00+02:00,21215,9222,12580
