date,Belegte,Freie,Notfallreserve
2020-03-20T12:15:00+01:00,576,2866,0
2020-03-21T12:15:00+01:00,2828,3554,0
2020-03-22T12:15:00+01:00,3255,3712,0
2020-03-23T12:15:00+01:00,3778,4050,0
2020-03-24T12:15:00+01:00,4856,4712,0
2020-03-25T12:15:00+01:00,5471,5081,0
2020-03-26T12:15:00+01:00,5960,5159,0
2020-03-27T12:15:00+01:00,6274,5389,0
2020-03-28T12:15:00+01:00,6738,5411,0
2020-03-29T12:15:00+02:00,6724,5496,0
2020-03-30T12:15:00+02:00,7069,5626,0
2020-03-31T12:15:00+02:00,8392,6227,0
2020-04-01T12:15:00+02:00,9345,7094,0
2020-04-02T12:15:00+02:00,10662,8017,0
2020-04-03T12:15:00+02:00,11719,8429,0
2020-04-04T12:15:00+02:00,11915,8689,0
2020-04-05T12:15:00+02:00,11942,8805,0
2020-04-06T12:15:00+02:00,11996,8809,0
2020-04-07T12:15:00+02:00,11938,8806,0
2020-04-08T12:15:00+02:00,12526,8967,0
2020-04-09T12:15:00+02:00,13129,9007,0
2020-04-10T12:15:00+02:00,12881,8990,0
2020-04-11T12:15:00+02:00,12462,9023,0
2020-04-12T12:15:00+02:00,12541,9168,0
2020-04-13T12:15:00+02:00,12831,9216,0
2020-04-14T12:15:00+02:00,13123,9443,0
2020-04-15T12:15:00+02:00,14119,9919,0
2020-04-16T12:15:00+02:00,15673,11208,0
2020-04-17T12:15:00+02:00,16861,11455,0
2020-04-18T12:15:00+02:00,17337,11605,0
2020-04-19T12:15:00+02:00,16956,12031,0
2020-04-20T12:15:00+02:00,17270,11992,0
2020-04-21T12:15:00+02:00,18189,11870,0
2020-04-22T12:15:00+02:00,18566,11900,0
2020-04-23T12:15:00+02:00,18726,11942,0
2020-04-24T12:15:00+02:00,18904,12010,0
2020-04-25T12:15:00+02:00,18763,12018,0
2020-04-26T12:15:00+02:00,18279,12421,0
2020-04-27T12:15:00+02:00,18461,12260,0
2020-04-28T12:15:00+02:00,18973,11932,0
2020-04-29T12:15:00+02:00,19204,11887,0
2020-04-30T12:15:00+02:00,19155,11925,0
2020-05-01T12:15:00+02:00,19218,12000,0
2020-05-02T12:15:00+02:00,18579,12596,0
2020-05-03T12:15:00+02:00,18706,12459,0
2020-05-04T12:15:00+02:00,18619,12397,0
2020-05-05T12:15:00+02:00,19195,11813,0
2020-05-06T12:15:00+02:00,19560,11543,0
2020-05-07T12:15:00+02:00,19536,11507,0
2020-05-08T12:15:00+02:00,19484,11369,0
2020-05-09T12:15:00+02:00,19287,11579,0
2020-05-10T12:15:00+02:00,18734,11995,0
2020-05-11T12:15:00+02:00,18891,11840,0
2020-05-12T12:15:00+02:00,19791,11610,0
2020-05-13T12:15:00+02:00,19730,11281,0
2020-05-14T12:15:00+02:00,19663,11439,0
2020-05-15T12:15:00+02:00,19991,11119,0
2020-05-16T12:15:00+02:00,19629,11315,0
2020-05-17T12:15:00+02:00,19112,11886,0
2020-05-18T12:15:00+02:00,19070,11842,0
2020-05-19T12:15:00+02:00,19647,11101,0
2020-05-20T12:15:00+02:00,19878,11044,0
2020-05-21T12:15:00+02:00,19877,11068,0
2020-05-22T12:15:00+02:00,19318,11611,0
2020-05-23T12:15:00+02:00,19505,11600,0
2020-05-24T12:15:00+02:00,19021,11949,0
2020-05-25T12:15:00+02:00,19076,11984,0
2020-05-26T12:15:00+02:00,19611,11329,0
2020-05-27T12:15:00+02:00,19874,10988,0
2020-05-28T12:15:00+02:00,19971,10850,0
2020-05-29T12:15:00+02:00,19899,10851,0
2020-05-30T12:15:00+02:00,19804,10965,0
2020-05-31T12:15:00+02:00,19139,11561,0
2020-06-01T12:15:00+02:00,19074,11632,0
2020-06-02T12:15:00+02:00,19143,11532,0
2020-06-03T12:15:00+02:00,19841,10899,0
2020-06-04T12:15:00+02:00,20160,10555,0
2020-06-05T12:15:00+02:00,20239,10460,0
2020-06-06T12:15:00+02:00,19964,10706,0
2020-06-07T12:15:00+02:00,19376,11259,0
2020-06-08T12:15:00+02:00,19230,11402,0
2020-06-09T12:15:00+02:00,20070,10649,0
2020-06-10T12:15:00+02:00,20218,10534,0
2020-06-11T12:15:00+02:00,20144,10577,0
2020-06-12T12:15:00+02:00,19675,11001,0
2020-06-13T12:15:00+02:00,19618,10976,0
2020-06-14T12:15:00+02:00,19233,11333,0
2020-06-15T12:15:00+02:00,19319,11353,0
2020-06-16T12:15:00+02:00,20038,10674,0
2020-06-17T12:15:00+02:00,20320,10409,0
2020-06-18T12:15:00+02:00,20448,10382,0
2020-06-19T12:15:00+02:00,20541,10279,0
2020-06-20T12:15:00+02:00,20226,10528,0
2020-06-21T12:15:00+02:00,19658,11085,0
2020-06-22T12:15:00+02:00,19676,11251,0
2020-06-23T12:15:00+02:00,20298,10619,0
2020-06-24T12:15:00+02:00,20380,10599,0
2020-06-25T12:15:00+02:00,20376,10555,0
2020-06-26T12:15:00+02:00,20522,10344,0
2020-06-27T12:15:00+02:00,20314,10546,0
2020-06-28T12:15:00+02:00,19811,11024,0
2020-06-29T12:15:00+02:00,19752,11161,0
2020-06-30T12:15:00+02:00,20325,10638,0
2020-07-01T12:15:00+02:00,20709,10335,0
2020-07-02T12:15:00+02:00,20806,10227,0
2020-07-03T12:15:00+02:00,20590,10154,0
2020-07-04T12:15:00+02:00,20226,10632,0
2020-07-05T12:15:00+02:00,19671,11126,0
2020-07-06T12:15:00+02:00,19716,11188,0
2020-07-07T12:15:00+02:00,20264,10723,0
2020-07-08T12:15:00+02:00,20483,10502,0
2020-07-09T12:15:00+02:00,20548,10394,0
2020-07-10T12:15:00+02:00,20641,10282,0
2020-07-11T12:15:00+02:00,20374,10506,0
2020-07-12T12:15:00+02:00,19767,10955,0
2020-07-13T12:15:00+02:00,19636,11162,0
2020-07-14T12:15:00+02:00,20355,10508,0
2020-07-15T12:15:00+02:00,20744,10145,0
2020-07-16T12:15:00+02:00,20784,10137,0
2020-07-17T12:15:00+02:00,20842,10139,0
2020-07-18T12:15:00+02:00,20453,10402,0
2020-07-19T12:15:00+02:00,19974,10821,0
2020-07-20T12:15:00+02:00,20115,10859,0
2020-07-21T12:15:00+02:00,20450,10470,0
2020-07-22T12:15:00+02:00,20592,10237,0
2020-07-23T12:15:00+02:00,20505,10251,0
2020-07-24T12:15:00+02:00,20553,10115,0
2020-07-25T12:15:00+02:00,20261,10281,0
2020-07-26T12:15:00+02:00,19772,10743,0
2020-07-27T12:15:00+02:00,19659,10856,0
2020-07-28T12:15:00+02:00,20230,10332,0
2020-07-29T12:15:00+02:00,20354,10125,0
2020-07-30T12:15:00+02:00,20132,10235,0
2020-07-31T12:15:00+02:00,20171,10152,0
2020-08-01T12:15:00+02:00,19875,10319,0
2020-08-02T12:15:00+02:00,19395,10760,0
2020-08-03T12:15:00+02:00,19369,10860,0
2020-08-04T12:15:00+02:00,19851,8638,11765
2020-08-05T12:15:00+02:00,20108,8238,12209
2020-08-06T12:15:00+02:00,20033,8197,12185
2020-08-07T12:15:00+02:00,20066,8140,12132
2020-08-08T12:15:00+02:00,19811,8273,12144
2020-08-09T12:15:00+02:00,19375,8686,12140
2020-08-10T12:15:00+02:00,19370,8610,12127
2020-08-11T12:15:00+02:00,20004,7959,12153
2020-08-12T12:15:00+02:00,20145,7859,12090
2020-08-13T12:15:00+02:00,20221,7672,12138
2020-08-14T12:15:00+02:00,20313,7631,12030
2020-08-15T12:15:00+02:00,19976,7856,12072
2020-08-16T12:15:00+02:00,19481,8330,12054
2020-08-17T12:15:00+02:00,19478,8417,12017
2020-08-18T12:15:00+02:00,20002,7977,12006
2020-08-19T12:15:00+02:00,20135,7859,11974
2020-08-20T12:15:00+02:00,20275,7800,11988
2020-08-21T12:15:00+02:00,20294,7769,12050
2020-08-22T12:15:00+02:00,19844,8067,12008
2020-08-23T12:15:00+02:00,19379,8488,12020
2020-08-24T12:15:00+02:00,19241,8721,12028
2020-08-25T12:15:00+02:00,19870,8191,11918
2020-08-26T12:15:00+02:00,20069,8012,11908
2020-08-27T12:15:00+02:00,19952,8102,11892
2020-08-28T12:15:00+02:00,19964,8012,11887
2020-08-29T12:15:00+02:00,19879,8006,11896
2020-08-30T12:15:00+02:00,19374,8456,11908
2020-08-31T12:15:00+02:00,19334,8578,11894
2020-09-01T12:15:00+02:00,19930,8078,11848
2020-09-02T12:15:00+02:00,20064,7974,11871
2020-09-03T12:15:00+02:00,20076,7953,11857
2020-09-04T12:15:00+02:00,20022,7982,11848
2020-09-05T12:15:00+02:00,19864,7996,11983
2020-09-06T12:15:00+02:00,19302,8527,12003
2020-09-07T12:15:00+02:00,19386,8516,11830
2020-09-08T12:15:00+02:00,20051,7896,11839
2020-09-09T12:15:00+02:00,20158,7793,11826
2020-09-10T12:15:00+02:00,20309,7715,11831
2020-09-11T12:15:00+02:00,20390,7609,11833
2020-09-12T12:15:00+02:00,20030,7836,11881
2020-09-13T12:15:00+02:00,19547,8286,11833
2020-09-14T12:15:00+02:00,19423,8500,11800
2020-09-15T12:15:00+02:00,20135,7818,11828
2020-09-16T12:15:00+02:00,20413,7633,11823
2020-09-17T12:15:00+02:00,20541,7531,11772
2020-09-18T12:15:00+02:00,20352,7639,11794
2020-09-19T12:15:00+02:00,19910,7962,11814
2020-09-20T12:15:00+02:00,19480,8354,11835
2020-09-21T12:15:00+02:00,19434,8484,11808
2020-09-22T12:15:00+02:00,20031,7908,11747
2020-09-23T12:15:00+02:00,20166,7748,11766
2020-09-24T12:15:00+02:00,20160,7745,11746
2020-09-25T12:15:00+02:00,20233,7665,11783
2020-09-26T12:15:00+02:00,19996,7776,11754
2020-09-27T12:15:00+02:00,19387,8345,11741
2020-09-28T12:15:00+02:00,19375,8538,11664
2020-09-29T12:15:00+02:00,20090,7929,11621
2020-09-30T12:15:00+02:00,20236,7726,11712
2020-10-01T12:15:00+02:00,20091,7711,11691
2020-10-02T12:15:00+02:00,20053,7686,11680
2020-10-03T12:15:00+02:00,19777,7814,11733
2020-10-04T12:15:00+02:00,19269,8258,11728
2020-10-05T12:15:00+02:00,19175,8430,11694
2020-10-06T12:15:00+02:00,19766,7864,11667
2020-10-07T12:15:00+02:00,20094,7491,11685
2020-10-08T12:15:00+02:00,20052,7490,11744
2020-10-09T12:15:00+02:00,19997,7546,11747
2020-10-10T12:15:00+02:00,19703,7824,11722
2020-10-11T12:15:00+02:00,19158,8306,11732
2020-10-12T12:15:00+02:00,19188,8300,11752
2020-10-13T12:15:00+02:00,19601,7927,11746
2020-10-14T12:15:00+02:00,19760,7700,11848
2020-10-15T12:15:00+02:00,19782,7688,11909
2020-10-16T12:15:00+02:00,19824,7634,11898
2020-10-17T12:15:00+02:00,19542,7776,11882
2020-10-18T12:15:00+02:00,18993,8296,11875
2020-10-19T12:15:00+02:00,19054,8374,11925
2020-10-20T12:15:00+02:00,19590,7864,11888
2020-10-21T12:15:00+02:00,19722,7477,12069
2020-10-22T12:15:00+02:00,19770,7193,12213
